"","at","value","timestamp"
"1578","2013-06-25T05:16:43.345442Z",384,2013-06-25 05:16:43
"1579","2013-06-25T05:18:43.356683Z",26101,2013-06-25 05:18:43
"1580","2013-06-25T05:20:43.364052Z",32643,2013-06-25 05:20:43
"1581","2013-06-25T05:22:43.373508Z",32643,2013-06-25 05:22:43
"1582","2013-06-25T05:24:43.380078Z",26101,2013-06-25 05:24:43
"1583","2013-06-25T05:26:43.391090Z",21740,2013-06-25 05:26:43
"1584","2013-06-25T05:28:43.396824Z",18625,2013-06-25 05:28:43
"1585","2013-06-25T05:30:43.406553Z",21740,2013-06-25 05:30:43
"1586","2013-06-25T05:32:43.411864Z",16289,2013-06-25 05:32:43
"1587","2013-06-25T05:34:43.420831Z",18625,2013-06-25 05:34:43
"1588","2013-06-25T05:36:43.432040Z",21740,2013-06-25 05:36:43
"1589","2013-06-25T05:38:43.436905Z",16289,2013-06-25 05:38:43
"1590","2013-06-25T05:40:43.445601Z",13018,2013-06-25 05:40:43
"1591","2013-06-25T05:42:43.458757Z",18625,2013-06-25 05:42:43
"1592","2013-06-25T05:44:43.464386Z",18625,2013-06-25 05:44:43
"1593","2013-06-25T05:46:43.456476Z",307,2013-06-25 05:46:43
"1594","2013-06-25T05:48:43.481981Z",10837,2013-06-25 05:48:43
"1595","2013-06-25T05:50:43.513928Z",14472,2013-06-25 05:50:43
"1596","2013-06-25T05:52:43.495647Z",21740,2013-06-25 05:52:43
"1597","2013-06-25T05:54:43.504749Z",26101,2013-06-25 05:54:43
"1598","2013-06-25T05:56:43.512978Z",16289,2013-06-25 05:56:43
"1599","2013-06-25T05:58:43.521279Z",14472,2013-06-25 05:58:43
"1600"," 2013-06-25T06:00:43.528635Z",21740,2013-06-25 06:00:43
"1601","2013-06-25T06:02:43.536879Z",21740,2013-06-25 06:02:43
"1602","2013-06-25T06:04:43.539525Z",353,2013-06-25 06:04:43
"1603","2013-06-25T06:06:43.552464Z",14472,2013-06-25 06:06:43
"1604","2013-06-25T06:08:43.560597Z",13018,2013-06-25 06:08:43
"1605","2013-06-25T06:10:43.569328Z",21740,2013-06-25 06:10:43
"1606","2013-06-25T06:12:43.579591Z",18625,2013-06-25 06:12:43
"1607","2013-06-25T06:14:43.581322Z",384,2013-06-25 06:14:43
"1608","2013-06-25T06:16:43.594419Z",32643,2013-06-25 06:16:43
