"","at","value","timestamp"
"316","2013-06-23T10:31:14.262921Z",483,2013-06-23 10:31:14
"317","2013-06-23T10:33:14.331096Z",130767,2013-06-23 10:33:14
"319","2013-06-23T10:37:14.283874Z",43545,2013-06-23 10:37:14
"322","2013-06-23T10:43:14.310106Z",65351,2013-06-23 10:43:14
"323","2013-06-23T10:45:14.314485Z",1367,2013-06-23 10:45:14
"324","2013-06-23T10:47:14.321521Z",130767,2013-06-23 10:47:14
"325","2013-06-23T10:49:14.326439Z",130767,2013-06-23 10:49:14
"326","2013-06-23T10:51:14.339077Z",43545,2013-06-23 10:51:14
"327","2013-06-23T10:53:14.372140Z",130767,2013-06-23 10:53:14
"328","2013-06-23T10:55:14.368005Z",65351,2013-06-23 10:55:14
"329","2013-06-23T10:57:14.360265Z",581,2013-06-23 10:57:14
"330","2013-06-23T10:59:14.366369Z",130767,2013-06-23 10:59:14
"331","2013-06-23T11:01:14.372185Z",65351,2013-06-23 11:01:14
"332","2013-06-23T11:03:14.379809Z",130767,2013-06-23 11:03:14
"333","2013-06-23T11:05:14.384920Z",130767,2013-06-23 11:05:14
"334","2013-06-23T11:07:14.395437Z",130767,2013-06-23 11:07:14
"336","2013-06-23T11:11:14.411641Z",1367,2013-06-23 11:11:14
"337","2013-06-23T11:13:14.417745Z",130767,2013-06-23 11:13:14
"338","2013-06-23T11:15:14.423410Z",130767,2013-06-23 11:15:14
"339","2013-06-23T11:17:14.431728Z",65351,2013-06-23 11:17:14
"340","2013-06-23T11:19:14.438437Z",130767,2013-06-23 11:19:14
"341","2013-06-23T11:21:14.443648Z",130767,2013-06-23 11:21:14
"346","2013-06-23T11:31:14.493976Z",130767,2013-06-23 11:31:14
"347","2013-06-23T11:33:14.487579Z",130767,2013-06-23 11:33:14
"348","2013-06-23T11:35:14.501663Z",130767,2013-06-23 11:35:14
"349","2013-06-23T11:37:14.500315Z",65351,2013-06-23 11:37:14
"350","2013-06-23T11:39:14.506949Z",65351,2013-06-23 11:39:14
"351","2013-06-23T11:41:14.571234Z",65351,2013-06-23 11:41:14
"352","2013-06-23T11:43:14.525476Z",65351,2013-06-23 11:43:14
"353","2013-06-23T11:45:14.530514Z",130767,2013-06-23 11:45:14
