"","at","value","timestamp"
"194","2013-06-17T06:26:13.903298Z",602,2013-06-17 06:26:13
"195","2013-06-17T06:28:13.913186Z",807,2013-06-17 06:28:13
"196","2013-06-17T06:30:13.923140Z",700,2013-06-17 06:30:13
"197","2013-06-17T06:32:13.932226Z",646,2013-06-17 06:32:13
"198","2013-06-17T06:34:13.943001Z",627,2013-06-17 06:34:13
"199","2013-06-17T06:36:13.951949Z",616,2013-06-17 06:36:13
"200","2013-06-17T06:38:13.962425Z",616,2013-06-17 06:38:13
"201","2013-06-17T06:40:13.972253Z",613,2013-06-17 06:40:13
"202","2013-06-17T06:42:13.982284Z",650,2013-06-17 06:42:13
"203","2013-06-17T06:44:13.991151Z",742,2013-06-17 06:44:13
"204","2013-06-17T06:46:14.001861Z",807,2013-06-17 06:46:14
"205","2013-06-17T06:48:14.016158Z",819,2013-06-17 06:48:14
"206","2013-06-17T06:50:14.019702Z",779,2013-06-17 06:50:14
"207","2013-06-17T06:52:14.034595Z",911,2013-06-17 06:52:14
"208","2013-06-17T06:54:14.036607Z",807,2013-06-17 06:54:14
"209","2013-06-17T06:56:14.051611Z",883,2013-06-17 06:56:14
"210","2013-06-17T06:58:14.056059Z",758,2013-06-17 06:58:14
"211","2013-06-17T07:00:14.047432Z",13,2013-06-17 07:00:14
"212","2013-06-17T07:02:14.075736Z",801,2013-06-17 07:02:14
"213","2013-06-17T07:04:14.087251Z",831,2013-06-17 07:04:14
"214","2013-06-17T07:06:14.095021Z",728,2013-06-17 07:06:14
"215","2013-06-17T07:08:14.084482Z",18,2013-06-17 07:08:14
"216","2013-06-17T07:10:14.114912Z",646,2013-06-17 07:10:14
"217","2013-06-17T07:12:14.124093Z",691,2013-06-17 07:12:14
"218","2013-06-17T07:14:14.134467Z",682,2013-06-17 07:14:14
"219","2013-06-17T07:16:14.144597Z",695,2013-06-17 07:16:14
"220","2013-06-17T07:18:14.154777Z",763,2013-06-17 07:18:14
"221","2013-06-17T07:20:14.164325Z",682,2013-06-17 07:20:14
"222","2013-06-17T07:22:14.173908Z",658,2013-06-17 07:22:14
"223","2013-06-17T07:24:14.185170Z",709,2013-06-17 07:24:14
"224","2013-06-17T07:26:14.189242Z",807,2013-06-17 07:26:14
"225","2013-06-17T07:28:14.203853Z",965,2013-06-17 07:28:14
"226","2013-06-17T07:30:14.208499Z",790,2013-06-17 07:30:14
"227","2013-06-17T07:32:14.218263Z",700,2013-06-17 07:32:14
"228","2013-06-17T07:34:14.228365Z",742,2013-06-17 07:34:14
"229","2013-06-17T07:36:14.237364Z",843,2013-06-17 07:36:14
"230","2013-06-17T07:38:14.250371Z",773,2013-06-17 07:38:14
"231","2013-06-17T07:40:14.238405Z",17,2013-06-17 07:40:14
"232","2013-06-17T07:42:14.242279Z",14,2013-06-17 07:42:14
"233","2013-06-17T07:44:14.280055Z",658,2013-06-17 07:44:14
"234","2013-06-17T07:46:14.292209Z",758,2013-06-17 07:46:14
"235","2013-06-17T07:48:14.292300Z",728,2013-06-17 07:48:14
"236","2013-06-17T07:50:14.306664Z",658,2013-06-17 07:50:14
"237","2013-06-17T07:52:14.313254Z",606,2013-06-17 07:52:14
"238","2013-06-17T07:54:14.326317Z",737,2013-06-17 07:54:14
"239","2013-06-17T07:56:14.331194Z",658,2013-06-17 07:56:14
"240","2013-06-17T07:58:14.340785Z",678,2013-06-17 07:58:14
"241","2013-06-17T08:00:14.355508Z",606,2013-06-17 08:00:14
"242","2013-06-17T08:02:14.368454Z",11,2013-06-17 08:02:14
"243","2013-06-17T08:04:14.550590Z",620,2013-06-17 08:04:14
"244","2013-06-17T08:06:15.511095Z",606,2013-06-17 08:06:15
"245","2013-06-17T08:08:14.389407Z",718,2013-06-17 08:08:14
"246","2013-06-17T08:10:14.400301Z",981,2013-06-17 08:10:14
"247","2013-06-17T08:12:14.408862Z",998,2013-06-17 08:12:14
"248","2013-06-17T08:14:14.422967Z",981,2013-06-17 08:14:14
"249","2013-06-17T08:16:14.428756Z",773,2013-06-17 08:16:14
"250","2013-06-17T08:18:14.440049Z",813,2013-06-17 08:18:14
"251","2013-06-17T08:20:14.450064Z",1025,2013-06-17 08:20:14
"252","2013-06-17T08:22:14.458585Z",801,2013-06-17 08:22:14
"253","2013-06-17T08:24:14.467902Z",678,2013-06-17 08:24:14
"254","2013-06-17T08:26:14.478296Z",869,2013-06-17 08:26:14
"255","2013-06-17T08:28:14.492711Z",700,2013-06-17 08:28:14
"256","2013-06-17T08:30:14.500535Z",965,2013-06-17 08:30:14
"257","2013-06-17T08:32:14.510126Z",876,2013-06-17 08:32:14
"258","2013-06-17T08:34:14.518842Z",752,2013-06-17 08:34:14
"259","2013-06-17T08:36:14.526755Z",737,2013-06-17 08:36:14
"260","2013-06-17T08:38:14.532630Z",990,2013-06-17 08:38:14
"261","2013-06-17T08:40:14.549517Z",1284,2013-06-17 08:40:14
"262","2013-06-17T08:42:14.551574Z",1082,2013-06-17 08:42:14
"263","2013-06-17T08:44:14.563559Z",965,2013-06-17 08:44:14
"264","2013-06-17T08:46:14.574635Z",949,2013-06-17 08:46:14
"265","2013-06-17T08:48:14.585190Z",1193,2013-06-17 08:48:14
"266","2013-06-17T08:50:14.588557Z",957,2013-06-17 08:50:14
"267","2013-06-17T08:52:14.600489Z",670,2013-06-17 08:52:14
"268","2013-06-17T08:54:14.605191Z",763,2013-06-17 08:54:14
"269","2013-06-17T08:56:14.615605Z",933,2013-06-17 08:56:14
"270","2013-06-17T08:58:14.624989Z",990,2013-06-17 08:58:14
"271"," 2013-06-17T09:00:14.636036Z",869,2013-06-17 09:00:14
"272","2013-06-17T09:02:14.645209Z",883,2013-06-17 09:02:14
"273","2013-06-17T09:04:14.649725Z",1270,2013-06-17 09:04:14
"274","2013-06-17T09:06:14.664701Z",1043,2013-06-17 09:06:14
"275","2013-06-17T09:08:14.674558Z",1456,2013-06-17 09:08:14
